RainTomorrow,MaxTemp,Humidity3pm
No,17.4,60.0
No,22.2,33.0
No,26.8,87.0
No,21.7,63.0
No,16.3,48.0
Yes,13.6,62.0
No,27.8,38.0
No,13.6,74.0
No,26.4,70.0
No,32.7,25.0
No,33.0,6.0
No,19.0,48.0
No,32.2,52.0
No,15.0,22.0
No,18.7,41.0
No,35.4,54.0
No,16.6,62.0
No,14.6,52.0
Yes,33.9,58.0
No,16.4,64.0
No,18.9,56.0
No,28.8,9.0
No,11.5,53.0
Yes,22.7,86.0
Yes,18.9,100.0
Yes,18.7,69.0
No,34.6,25.0
Yes,31.2,68.0
Yes,14.6,82.0
Yes,18.6,79.0
No,28.4,54.0
No,28.2,24.0
No,22.4,32.0
Yes,18.1,96.0
No,29.5,65.0
No,22.6,50.0
No,6.9,84.0
No,14.2,51.0
No,31.7,27.0
No,25.3,62.0
Yes,23.3,95.0
No,29.4,37.0
No,21.0,62.0
No,24.1,57.0
Yes,23.4,75.0
Yes,25.5,41.0
Yes,23.7,47.0
No,31.2,56.0
No,27.8,57.0
No,16.9,36.0
No,20.8,65.0
Yes,14.4,86.0
Yes,12.8,50.0
No,34.5,37.0
No,23.4,43.0
No,17.2,42.0
No,29.0,74.0
Yes,15.1,60.0
No,24.7,12.0
No,37.3,18.0
No,33.1,24.0
No,23.9,72.0
Yes,25.1,69.0
Yes,17.7,69.0
No,22.8,45.0
No,25.3,26.0
Yes,27.8,41.0
No,19.3,29.0
No,20.4,56.0
No,22.1,23.0
Yes,22.5,84.0
Yes,24.1,83.0
Yes,21.4,56.0
Yes,31.7,38.0
No,30.8,23.0
No,19.6,30.0
No,25.3,40.0
No,18.0,74.0
No,26.3,53.0
No,24.7,71.0
No,34.7,25.0
No,25.0,46.0
No,32.7,66.0
No,18.9,81.0
No,26.4,71.0
No,18.9,47.0
Yes,10.9,86.0
No,12.9,81.0
Yes,18.4,73.0
No,21.9,71.0
No,19.6,48.0
No,39.5,10.0
No,20.7,49.0
No,20.9,40.0
No,35.2,20.0
No,28.5,27.0
No,16.0,64.0
No,18.9,56.0
Yes,27.0,71.0
Yes,25.9,92.0
No,36.9,24.0
No,13.3,78.0
Yes,27.2,36.0
No,18.1,60.0
Yes,15.0,82.0
No,26.1,25.0
No,30.7,30.0
No,25.0,44.0
No,18.3,53.0
Yes,19.7,50.0
No,32.2,23.0
No,17.1,30.0
Yes,15.0,70.0
No,25.0,65.0
No,15.7,79.0
Yes,15.6,91.0
No,28.3,22.0
No,24.0,27.0
No,17.6,51.0
No,30.9,34.0
No,36.3,14.0
Yes,33.7,61.0
No,22.0,67.0
No,19.5,37.0
Yes,25.3,37.0
Yes,22.8,48.0
No,17.7,37.0
No,19.9,23.0
No,32.0,18.0
No,30.8,26.0
No,20.9,48.0
No,24.9,23.0
No,17.0,62.0
Yes,20.2,93.0
No,34.7,48.0
No,24.8,33.0
Yes,22.0,74.0
No,34.5,16.0
No,12.9,56.0
Yes,11.6,75.0
No,26.5,31.0
No,29.0,55.0
No,23.8,79.0
No,25.0,64.0
No,42.5,10.0
No,19.0,73.0
No,22.7,25.0
No,18.5,48.0
Yes,13.6,88.0
No,19.8,72.0
No,12.9,25.0
No,20.6,21.0
No,22.4,47.0
No,25.7,56.0
No,24.2,62.0
Yes,17.1,89.0
No,23.2,68.0
No,18.3,58.0
No,33.0,57.0
No,25.2,22.0
No,22.0,41.0
No,18.9,68.0
No,24.7,71.0
No,23.8,70.0
Yes,16.2,63.0
No,23.6,66.0
No,23.5,37.0
No,23.4,55.0
No,29.7,21.0
No,22.2,63.0
No,26.4,59.0
No,15.5,68.0
Yes,23.7,70.0
No,23.2,48.0
No,20.9,41.0
No,34.1,53.0
No,18.2,42.0
Yes,28.9,76.0
No,26.8,51.0
No,29.7,43.0
No,25.9,73.0
No,15.0,48.0
No,29.2,38.0
No,31.4,50.0
No,17.8,40.0
No,16.7,63.0
No,33.1,35.0
No,23.7,56.0
No,21.2,35.0
No,28.8,10.0
Yes,35.4,29.0
No,16.7,69.0
Yes,33.8,12.0
No,36.0,21.0
No,29.4,64.0
No,35.3,13.0
No,24.0,55.0
No,18.1,56.0
No,33.8,51.0
No,29.8,54.0
No,28.2,19.0
No,28.9,15.0
No,25.9,68.0
No,15.0,59.0
No,34.7,60.0
No,20.2,41.0
No,31.8,41.0
No,12.3,58.0
No,17.5,80.0
No,33.2,26.0
No,23.5,35.0
No,22.0,39.0
No,23.9,53.0
No,33.9,12.0
No,15.7,51.0
No,29.0,19.0
No,24.0,28.0
No,16.3,40.0
No,21.5,29.0
Yes,26.7,89.0
No,37.8,4.0
No,33.0,31.0
No,22.3,54.0
No,26.9,55.0
No,21.6,34.0
Yes,27.2,78.0
No,29.4,14.0
No,31.6,58.0
No,30.2,12.0
No,19.3,40.0
No,25.6,31.0
No,25.9,27.0
No,21.4,52.0
No,35.0,31.0
No,16.2,25.0
Yes,19.6,86.0
No,18.3,45.0
No,29.3,38.0
No,44.0,7.0
No,14.0,53.0
No,15.7,51.0
No,15.1,51.0
No,16.6,42.0
No,16.1,71.0
Yes,23.2,64.0
No,25.5,40.0
No,28.5,23.0
Yes,17.0,91.0
No,25.7,70.0
No,13.6,54.0
No,29.7,34.0
No,18.5,32.0
Yes,21.5,76.0
No,23.2,70.0
No,20.3,42.0
Yes,15.7,94.0
Yes,23.5,89.0
No,21.6,39.0
Yes,17.5,98.0
Yes,26.7,76.0
Yes,29.6,11.0
No,25.6,63.0
No,22.6,35.0
No,30.8,16.0
No,15.3,57.0
No,22.5,40.0
Yes,18.9,73.0
No,24.3,69.0
No,20.7,56.0
No,20.1,25.0
No,26.5,57.0
No,15.6,42.0
Yes,26.0,82.0
No,16.3,79.0
No,33.9,19.0
No,27.0,32.0
Yes,14.6,79.0
Yes,20.4,91.0
Yes,22.6,42.0
No,26.2,48.0
Yes,14.3,72.0
No,18.7,52.0
No,23.0,51.0
Yes,14.8,55.0
No,19.8,35.0
Yes,22.0,34.0
No,28.2,32.0
Yes,34.3,55.0
No,23.4,49.0
No,22.0,44.0
No,28.3,20.0
Yes,20.1,81.0
No,19.7,37.0
Yes,21.7,62.0
No,22.2,23.0
No,21.9,45.0
Yes,22.6,69.0
No,19.2,29.0
Yes,23.6,59.0
Yes,27.2,62.0
No,31.9,4.0
No,31.0,59.0
No,12.1,33.0
No,28.0,69.0
No,27.0,33.0
No,29.1,60.0
No,15.5,59.0
No,23.6,44.0
No,21.8,52.0
No,27.9,17.0
No,18.6,44.0
Yes,18.2,81.0
Yes,20.7,53.0
No,16.4,57.0
No,26.7,42.0
No,19.9,45.0
No,22.0,34.0
Yes,13.3,89.0
Yes,21.7,76.0
No,24.8,56.0
No,26.7,62.0
No,18.8,72.0
No,31.8,49.0
No,11.8,84.0
No,33.1,40.0
No,23.7,50.0
No,20.1,78.0
No,25.7,53.0
No,32.8,36.0
No,35.3,12.0
Yes,24.3,59.0
No,34.2,71.0
No,24.3,50.0
No,21.4,42.0
No,27.3,12.0
No,31.1,25.0
No,20.1,18.0
Yes,29.0,81.0
Yes,21.4,85.0
No,34.1,50.0
No,24.2,78.0
Yes,14.5,72.0
Yes,18.3,73.0
No,38.2,24.0
No,29.8,33.0
Yes,13.2,72.0
No,16.1,56.0
No,24.4,27.0
No,28.2,67.0
Yes,16.0,52.0
No,20.3,63.0
No,21.6,34.0
No,18.6,68.0
No,36.1,35.0
No,26.6,48.0
No,11.5,70.0
No,19.4,40.0
Yes,39.8,24.0
No,19.6,24.0
No,24.9,36.0
Yes,23.4,54.0
No,21.7,48.0
No,34.3,49.0
No,33.8,26.0
Yes,21.9,93.0
No,13.7,58.0
Yes,18.8,42.0
No,18.3,49.0
No,20.0,22.0
No,25.6,69.0
No,27.7,41.0
No,19.6,42.0
No,13.5,34.0
Yes,14.3,99.0
No,14.7,49.0
No,36.3,65.0
Yes,25.8,86.0
No,11.5,64.0
Yes,29.6,56.0
No,40.6,14.0
No,24.7,37.0
Yes,14.8,63.0
No,39.4,12.0
Yes,20.9,27.0
No,25.3,38.0
No,14.3,83.0
No,15.6,45.0
No,14.2,50.0
No,20.7,33.0
Yes,11.5,88.0
No,31.4,16.0
Yes,12.9,92.0
Yes,15.1,67.0
No,21.8,25.0
No,38.9,15.0
No,17.3,37.0
No,19.9,58.0
No,18.8,55.0
No,13.7,58.0
No,25.9,48.0
No,33.0,24.0
No,13.6,47.0
No,22.8,25.0
No,29.9,16.0
No,23.2,27.0
No,17.9,74.0
No,27.2,61.0
No,27.1,24.0
No,19.7,48.0
No,33.0,33.0
No,20.9,51.0
Yes,15.5,91.0
No,22.9,42.0
No,28.4,32.0
No,21.9,54.0
No,22.6,39.0
Yes,20.6,56.0
No,25.8,34.0
No,11.2,62.0
No,21.2,57.0
Yes,32.7,16.0
No,29.1,42.0
No,29.7,86.0
Yes,32.3,96.0
Yes,28.7,49.0
No,24.2,66.0
No,23.2,30.0
Yes,13.5,83.0
No,23.5,61.0
No,30.4,46.0
No,11.0,72.0
Yes,16.6,40.0
Yes,23.1,70.0
No,17.9,70.0
No,17.2,39.0
No,19.4,63.0
No,23.5,28.0
No,24.8,35.0
No,15.7,75.0
No,13.4,81.0
No,32.1,31.0
Yes,25.1,66.0
No,35.7,16.0
No,23.5,71.0
No,20.9,37.0
No,25.7,81.0
No,28.1,31.0
No,27.2,33.0
No,11.6,62.0
No,22.0,48.0
No,31.6,67.0
Yes,17.5,86.0
Yes,24.4,60.0
No,26.9,27.0
No,34.0,45.0
No,29.4,43.0
No,33.4,55.0
No,18.5,70.0
No,13.7,61.0
No,26.4,21.0
Yes,17.8,68.0
Yes,13.8,82.0
No,26.3,13.0
No,17.0,46.0
Yes,16.2,73.0
No,22.1,46.0
Yes,11.9,90.0
No,24.4,14.0
Yes,12.2,91.0
No,16.0,39.0
No,33.6,30.0
No,34.6,25.0
No,24.9,79.0
Yes,17.7,94.0
No,26.3,30.0
Yes,22.7,61.0
Yes,23.7,57.0
Yes,21.2,59.0
Yes,18.9,86.0
Yes,22.2,56.0
No,14.5,57.0
Yes,37.2,22.0
No,31.9,49.0
No,25.0,22.0
Yes,20.6,64.0
No,31.4,46.0
No,28.6,22.0
Yes,18.5,53.0
No,25.2,62.0
No,28.6,44.0
No,21.2,58.0
Yes,31.0,79.0
No,16.9,57.0
No,22.6,68.0
No,19.6,52.0
No,26.6,38.0
No,19.2,43.0
No,29.8,17.0
No,14.1,61.0
No,14.6,47.0
No,12.1,45.0
Yes,31.2,69.0
No,24.8,28.0
No,20.3,56.0
No,32.3,18.0
No,17.2,55.0
Yes,20.4,54.0
No,22.9,78.0
No,23.1,60.0
Yes,11.6,98.0
No,18.9,45.0
No,16.7,84.0
No,18.7,41.0
No,27.7,27.0
No,31.8,62.0
No,27.6,23.0
Yes,12.8,92.0
No,16.2,45.0
Yes,8.4,74.0
Yes,17.5,57.0
Yes,31.0,68.0
No,21.6,67.0
Yes,21.0,85.0
No,31.2,61.0
No,37.7,22.0
No,30.9,28.0
No,38.4,36.0
No,34.9,24.0
No,26.8,63.0
No,20.2,17.0
Yes,20.7,95.0
No,25.9,35.0
No,24.2,52.0
Yes,25.1,58.0
No,27.1,67.0
No,15.5,67.0
No,37.3,7.0
No,19.3,78.0
No,27.2,83.0
Yes,23.2,77.0
No,35.0,12.0
Yes,19.4,75.0
No,41.4,11.0
No,26.1,24.0
No,27.1,52.0
No,25.2,39.0
No,23.4,68.0
No,19.4,22.0
Yes,17.0,69.0
No,24.4,47.0
Yes,28.4,56.0
No,13.7,77.0
No,25.2,33.0
No,18.0,55.0
No,29.6,42.0
Yes,13.1,91.0
No,33.6,52.0
No,20.4,42.0
No,17.2,67.0
Yes,32.0,25.0
No,26.1,30.0
No,32.1,22.0
No,26.9,40.0
Yes,26.8,45.0
No,18.7,40.0
No,35.0,48.0
Yes,22.4,53.0
Yes,14.6,64.0
No,15.4,48.0
No,25.9,70.0
No,21.2,48.0
No,10.9,63.0
No,34.2,29.0
No,32.6,26.0
Yes,21.7,73.0
No,20.5,45.0
No,28.8,47.0
No,22.5,11.0
No,28.2,24.0
No,15.1,43.0
No,27.9,63.0
No,34.8,18.0
Yes,14.2,94.0
No,36.7,4.0
Yes,24.7,67.0
No,43.9,9.0
No,23.8,76.0
No,32.3,26.0
No,26.3,28.0
No,16.1,50.0
No,29.0,65.0
No,32.6,46.0
No,20.7,45.0
Yes,25.4,88.0
No,36.4,29.0
No,32.1,53.0
Yes,29.6,59.0
No,30.4,38.0
Yes,33.0,29.0
No,33.5,75.0
No,24.4,41.0
Yes,19.8,97.0
Yes,23.4,82.0
No,20.4,36.0
No,19.8,18.0
Yes,14.2,71.0
Yes,14.7,90.0
No,15.4,67.0
No,20.1,53.0
No,12.9,72.0
No,13.0,53.0
No,20.4,49.0
No,20.2,53.0
No,24.2,55.0
No,20.6,51.0
Yes,12.1,89.0
No,13.8,65.0
No,29.4,59.0
No,22.8,34.0
No,16.5,50.0
No,23.5,54.0
No,22.1,49.0
No,36.0,52.0
Yes,19.4,61.0
No,20.3,72.0
Yes,22.6,65.0
No,19.7,50.0
No,22.5,53.0
No,16.7,46.0
No,22.4,58.0
No,15.6,56.0
No,23.2,47.0
No,14.2,68.0
No,17.3,56.0
No,18.0,46.0
No,26.8,59.0
No,10.8,49.0
No,14.9,91.0
Yes,26.1,74.0
No,27.9,40.0
Yes,28.9,76.0
No,25.5,66.0
No,25.6,67.0
No,18.7,75.0
No,27.6,36.0
Yes,8.7,86.0
Yes,22.7,64.0
No,16.0,40.0
No,24.3,26.0
No,36.7,10.0
Yes,34.3,61.0
Yes,27.4,25.0
No,22.3,54.0
No,31.0,81.0
No,16.6,21.0
No,28.5,68.0
Yes,15.0,77.0
No,31.3,55.0
No,19.4,59.0
No,42.8,15.0
No,27.2,38.0
No,22.0,51.0
No,16.0,49.0
No,33.5,64.0
No,22.9,45.0
No,39.5,14.0
No,22.8,25.0
No,36.2,35.0
No,14.8,47.0
Yes,24.5,100.0
No,16.5,49.0
No,25.2,50.0
Yes,14.2,57.0
Yes,12.9,100.0
No,22.8,53.0
No,25.7,41.0
No,31.3,43.0
No,24.7,54.0
No,33.4,76.0
No,26.1,38.0
No,31.9,68.0
No,30.3,13.0
No,26.2,33.0
Yes,30.6,86.0
No,13.6,76.0
No,28.3,31.0
Yes,24.4,87.0
Yes,19.5,38.0
Yes,19.1,84.0
No,32.9,62.0
Yes,31.9,75.0
No,22.1,69.0
No,21.1,20.0
No,17.2,61.0
No,25.2,65.0
No,31.6,29.0
No,22.1,54.0
No,16.8,47.0
Yes,15.7,77.0
No,29.0,29.0
No,14.4,92.0
No,34.7,18.0
No,17.3,70.0
No,28.3,21.0
No,19.1,46.0
No,21.2,25.0
No,25.2,52.0
No,19.9,43.0
Yes,21.3,95.0
No,31.0,10.0
No,14.1,47.0
No,31.1,39.0
No,41.6,25.0
Yes,32.7,77.0
No,22.6,21.0
No,23.9,14.0
No,25.6,56.0
No,23.3,55.0
No,23.2,60.0
No,29.9,42.0
Yes,22.9,64.0
No,28.4,60.0
No,31.9,45.0
No,39.6,8.0
No,34.1,27.0
Yes,21.2,61.0
Yes,24.2,59.0
No,13.3,40.0
No,12.9,70.0
No,12.2,64.0
No,15.4,72.0
No,13.7,64.0
Yes,16.6,98.0
No,25.0,24.0
Yes,19.1,68.0
No,15.2,63.0
No,20.2,44.0
No,15.7,34.0
Yes,25.7,64.0
No,18.5,63.0
No,21.1,80.0
Yes,18.3,35.0
No,14.5,80.0
No,29.2,29.0
No,30.6,30.0
No,26.2,35.0
No,19.5,69.0
No,18.7,57.0
No,17.3,40.0
Yes,19.6,50.0
No,28.2,45.0
No,16.9,45.0
Yes,21.4,49.0
Yes,28.4,85.0
Yes,26.8,33.0
Yes,17.2,49.0
No,22.4,53.0
No,28.1,22.0
No,13.3,66.0
No,25.0,45.0
No,35.1,38.0
No,34.7,48.0
No,27.2,64.0
No,33.1,25.0
No,26.5,37.0
No,30.1,43.0
No,29.1,60.0
Yes,25.2,83.0
No,14.9,59.0
No,15.0,72.0
No,26.0,79.0
No,33.8,67.0
No,36.2,15.0
No,13.6,65.0
Yes,10.9,96.0
No,24.1,61.0
No,32.2,36.0
No,17.5,27.0
No,19.3,53.0
Yes,12.1,83.0
No,33.4,1.0
No,25.4,23.0
No,22.9,57.0
No,31.7,45.0
No,17.1,46.0
No,29.2,18.0
Yes,24.6,81.0
No,19.5,47.0
Yes,17.0,93.0
No,16.5,60.0
No,33.5,29.0
No,19.9,48.0
No,13.9,84.0
No,32.7,47.0
Yes,15.4,58.0
No,30.4,30.0
No,25.8,71.0
No,15.8,72.0
No,25.1,75.0
Yes,17.2,91.0
No,10.6,43.0
No,29.6,51.0
No,19.8,56.0
No,15.7,58.0
Yes,15.2,72.0
No,17.7,83.0
No,23.7,58.0
No,27.4,71.0
No,26.3,72.0
No,25.9,59.0
No,25.9,57.0
Yes,34.4,62.0
No,10.6,73.0
No,17.8,62.0
No,21.8,42.0
No,35.9,31.0
Yes,19.1,93.0
No,29.1,62.0
No,17.7,63.0
Yes,19.0,82.0
No,35.4,10.0
No,33.6,43.0
No,14.5,66.0
Yes,23.1,86.0
No,15.3,61.0
Yes,13.9,77.0
No,25.3,52.0
No,14.5,93.0
No,25.4,31.0
No,16.9,39.0
Yes,18.4,91.0
Yes,31.3,46.0
No,27.0,64.0
No,18.8,27.0
No,23.2,42.0
No,17.9,33.0
No,29.8,59.0
No,26.0,51.0
Yes,15.5,64.0
No,16.0,72.0
No,26.4,62.0
Yes,25.2,91.0
Yes,22.8,62.0
Yes,25.6,85.0
Yes,22.0,39.0
No,28.3,7.0
No,26.0,39.0
Yes,20.4,94.0
No,32.7,63.0
No,28.6,31.0
No,37.2,24.0
No,37.7,15.0
No,24.7,53.0
No,27.3,47.0
Yes,13.5,87.0
No,15.5,52.0
No,14.9,99.0
No,18.4,26.0
No,22.7,71.0
No,32.6,31.0
No,20.5,54.0
Yes,21.0,62.0
No,22.9,43.0
No,18.3,24.0
No,19.2,44.0
No,9.1,89.0
Yes,21.5,58.0
Yes,25.3,97.0
No,37.4,19.0
No,32.0,32.0
No,21.7,24.0
No,17.2,51.0
No,20.0,35.0
No,21.3,52.0
No,20.2,30.0
No,11.8,89.0
Yes,18.7,91.0
No,31.9,27.0
No,24.3,71.0
No,16.8,31.0
No,37.9,23.0
No,22.5,79.0
Yes,15.1,78.0
No,23.1,44.0
Yes,30.4,63.0
No,18.5,45.0
No,27.4,22.0
No,26.8,52.0
No,15.8,37.0
No,25.9,69.0
No,22.3,36.0
No,21.2,44.0
No,20.6,64.0
No,32.5,14.0
No,27.0,65.0
No,11.8,77.0
Yes,11.6,83.0
No,34.0,27.0
No,17.0,72.0
Yes,31.3,65.0
No,14.7,47.0
No,11.8,52.0
No,38.3,8.0
No,25.3,86.0
No,33.5,50.0
No,36.0,36.0
No,28.3,51.0
No,28.8,61.0
No,30.7,22.0
No,40.5,8.0
Yes,27.0,85.0
No,26.5,37.0
No,31.4,35.0
Yes,24.1,90.0
No,12.8,83.0
No,30.9,23.0
No,18.9,58.0
Yes,24.4,83.0
No,32.4,29.0
No,20.6,43.0
No,18.4,61.0
No,31.8,20.0
Yes,25.1,56.0
No,24.5,58.0
No,25.6,40.0
No,27.6,20.0
Yes,27.0,100.0
No,19.9,45.0
No,24.8,58.0
No,23.3,86.0
No,34.6,21.0
Yes,16.9,98.0
No,18.2,55.0
No,18.3,85.0
No,22.1,56.0
Yes,18.2,72.0
No,30.6,60.0
No,19.7,63.0
No,16.7,55.0
No,26.5,70.0
No,15.1,99.0
Yes,27.8,67.0
No,21.5,57.0
No,19.7,33.0
No,32.3,51.0
No,11.9,40.0
No,30.1,54.0
No,22.9,67.0
No,14.5,51.0
Yes,22.7,34.0
No,39.5,18.0
No,21.3,65.0
No,26.7,33.0
No,34.5,17.0
No,22.6,64.0
No,32.0,34.0
No,29.4,22.0
No,28.9,57.0
No,35.9,45.0
No,22.9,38.0
No,24.3,59.0
Yes,14.0,63.0
No,20.2,75.0
No,29.2,51.0
No,19.4,38.0
No,39.6,22.0
No,18.3,45.0
No,16.1,60.0
Yes,30.6,85.0
No,28.7,36.0
No,21.6,66.0
No,15.6,78.0
No,19.6,58.0
No,26.7,64.0
No,24.4,47.0
No,33.1,34.0
Yes,26.0,74.0
No,19.8,33.0
Yes,12.4,98.0
No,26.3,63.0
No,27.1,32.0
Yes,32.5,58.0
No,29.8,11.0
No,29.7,36.0
No,21.1,57.0
No,13.6,61.0
Yes,21.6,71.0
No,33.7,40.0
No,27.7,37.0
No,14.6,53.0
No,18.8,32.0
No,15.9,44.0
Yes,17.6,63.0
No,32.6,22.0
No,17.1,58.0
No,15.6,57.0
Yes,17.8,71.0
No,20.9,50.0
No,21.2,59.0
Yes,17.9,95.0
Yes,23.3,94.0
No,24.5,75.0
No,20.7,60.0
Yes,16.3,71.0
No,16.4,45.0
No,27.6,35.0
Yes,29.7,91.0
No,32.1,38.0
No,28.2,45.0
No,19.3,54.0
Yes,34.4,45.0
Yes,11.2,67.0
Yes,35.0,34.0
No,28.1,32.0
No,14.6,43.0
No,40.3,19.0
No,20.9,45.0
No,17.8,60.0
No,18.9,53.0
Yes,17.1,63.0
Yes,24.1,94.0
Yes,25.3,89.0
No,37.9,14.0
No,31.3,64.0
Yes,20.9,97.0
No,16.9,39.0
No,16.1,69.0
No,36.2,9.0
Yes,34.9,53.0
No,25.5,32.0
No,32.3,26.0
No,37.3,29.0
Yes,32.0,63.0
No,40.3,17.0
No,22.6,54.0
Yes,15.6,74.0
No,34.4,15.0
No,18.1,70.0
No,29.0,50.0
Yes,20.4,60.0
Yes,27.5,58.0
Yes,16.1,61.0
No,27.3,64.0
No,18.3,39.0
No,33.7,28.0
No,27.8,52.0
Yes,24.9,96.0
No,37.1,19.0
No,16.8,40.0
No,11.2,70.0
No,21.9,45.0
No,19.9,48.0
No,26.9,58.0
Yes,21.4,61.0
No,24.4,43.0
Yes,24.3,60.0
No,13.7,40.0
No,23.7,43.0
Yes,30.0,92.0
No,12.8,73.0
No,19.6,43.0
No,25.4,59.0
No,24.1,22.0
No,20.4,58.0
No,26.2,42.0
No,34.6,8.0
No,20.4,34.0
No,32.9,22.0
No,23.6,59.0
No,27.4,80.0
No,22.1,49.0
No,28.3,62.0
No,29.9,18.0
No,14.9,74.0
No,28.2,25.0
No,23.6,54.0
No,19.3,88.0
Yes,22.7,52.0
No,24.1,45.0
No,19.8,75.0
No,30.9,24.0
No,16.0,52.0
No,22.3,42.0
No,28.7,66.0
No,36.3,44.0
No,23.5,70.0
No,27.5,59.0
No,22.0,50.0
No,24.2,37.0
No,20.3,59.0
No,17.3,27.0
No,32.1,20.0
No,14.1,63.0
No,12.6,71.0
No,19.8,63.0
No,17.5,46.0
Yes,18.4,64.0
Yes,14.3,79.0
No,31.2,61.0
No,28.4,59.0
No,38.9,19.0
No,37.5,13.0
Yes,26.5,81.0
Yes,22.7,51.0
Yes,9.1,98.0
No,16.3,60.0
No,25.4,63.0
No,24.9,62.0
Yes,27.6,88.0
No,20.8,44.0
Yes,27.6,93.0
No,27.8,53.0
No,30.9,25.0
No,14.2,65.0
Yes,30.3,79.0
Yes,18.5,41.0
No,22.8,44.0
No,14.8,48.0
No,17.1,56.0
Yes,24.4,93.0
No,31.4,38.0
Yes,19.6,54.0
No,25.7,60.0
No,29.4,66.0
Yes,21.0,40.0
Yes,22.0,49.0
No,19.4,39.0
No,25.6,56.0
Yes,22.1,72.0
No,30.7,11.0
No,19.1,54.0
No,26.6,79.0
Yes,20.2,61.0
No,29.2,32.0
No,14.1,52.0
Yes,23.9,70.0
No,20.8,37.0
No,28.9,51.0
No,19.8,51.0
Yes,13.4,53.0
Yes,19.0,97.0
No,34.4,12.0
No,32.4,31.0
No,18.6,43.0
No,29.9,25.0
No,23.5,65.0
No,20.0,29.0
No,29.3,28.0
Yes,13.5,91.0
No,23.1,36.0
No,25.5,49.0
No,38.8,7.0
No,36.2,13.0
No,13.5,74.0
No,15.4,52.0
No,30.8,35.0
Yes,25.8,71.0
Yes,30.9,16.0
No,22.1,61.0
Yes,31.1,43.0
No,23.6,43.0
No,27.7,26.0
Yes,30.4,45.0
No,15.5,53.0
No,13.9,56.0
No,15.7,47.0
Yes,14.0,93.0
No,17.6,63.0
Yes,12.1,98.0
Yes,18.1,54.0
Yes,14.6,75.0
No,22.3,38.0
No,21.3,59.0
No,21.9,58.0
Yes,15.9,66.0
No,30.0,30.0
No,23.9,65.0
No,26.4,82.0
No,24.2,67.0
No,14.4,64.0
No,30.8,29.0
No,30.5,34.0
No,14.7,57.0
No,29.5,56.0
Yes,21.1,35.0
No,30.8,59.0
No,31.6,15.0
No,17.0,50.0
No,15.4,48.0
No,29.4,46.0
No,21.9,49.0
No,20.3,39.0
No,32.1,27.0
No,36.0,50.0
No,24.9,66.0
No,33.2,24.0
No,31.3,44.0
No,20.1,43.0
Yes,19.4,48.0
No,28.0,20.0
No,21.4,45.0
No,20.9,36.0
Yes,22.0,47.0
No,18.7,56.0
No,20.2,32.0
Yes,23.6,73.0
No,24.9,57.0
No,36.7,16.0
No,9.8,82.0
No,35.8,19.0
Yes,18.2,94.0
No,14.4,80.0
No,24.7,51.0
No,23.3,20.0
No,24.1,46.0
Yes,20.6,92.0
Yes,28.3,73.0
No,33.0,49.0
Yes,18.6,85.0
Yes,21.6,83.0
No,15.0,48.0
Yes,28.6,78.0
No,25.3,42.0
No,17.6,57.0
No,17.4,43.0
Yes,29.9,64.0
No,15.9,45.0
Yes,32.6,53.0
No,27.9,10.0
Yes,14.0,64.0
No,13.7,52.0
No,22.3,28.0
No,24.1,49.0
No,32.4,54.0
No,33.2,24.0
No,30.5,10.0
Yes,25.6,64.0
No,18.0,55.0
Yes,23.2,60.0
Yes,21.2,66.0
No,30.2,67.0
No,21.7,85.0
Yes,17.6,81.0
No,27.6,29.0
No,28.7,23.0
No,14.2,46.0
No,17.5,34.0
Yes,17.6,58.0
No,34.2,13.0
No,24.7,54.0
Yes,15.1,70.0
No,23.6,69.0
No,10.7,61.0
No,11.7,61.0
No,10.6,59.0
No,27.1,49.0
No,29.8,44.0
No,13.5,41.0
No,15.1,44.0
Yes,25.6,51.0
No,32.9,19.0
No,20.6,37.0
No,27.1,57.0
No,36.1,22.0
Yes,23.1,75.0
No,22.8,40.0
No,24.9,42.0
No,22.1,48.0
No,25.1,70.0
No,18.9,39.0
No,36.0,20.0
No,23.1,25.0
No,33.4,14.0
No,22.7,28.0
No,20.3,46.0
Yes,17.5,94.0
No,11.6,87.0
Yes,13.6,87.0
No,35.9,51.0
No,17.8,41.0
Yes,19.9,95.0
No,21.7,47.0
No,30.5,4.0
No,24.2,71.0
Yes,17.2,74.0
No,26.4,54.0
No,15.1,53.0
No,31.6,60.0
No,21.4,53.0
No,28.3,26.0
No,34.3,26.0
No,21.0,76.0
No,18.3,70.0
No,30.4,38.0
Yes,15.7,58.0
No,14.9,69.0
No,33.3,12.0
No,36.3,23.0
Yes,14.1,64.0
No,19.5,66.0
Yes,22.0,31.0
Yes,25.2,79.0
No,16.3,51.0
No,33.6,38.0
Yes,20.7,65.0
No,27.4,37.0
No,22.6,39.0
No,17.9,41.0
No,23.4,39.0
No,27.1,52.0
No,29.0,29.0
Yes,33.6,93.0
No,30.1,13.0
Yes,31.3,57.0
Yes,26.1,71.0
No,31.5,41.0
No,30.6,21.0
Yes,14.5,96.0
No,27.3,34.0
Yes,29.2,53.0
No,20.2,41.0
No,15.4,51.0
No,28.3,22.0
No,30.3,28.0
No,22.6,65.0
No,13.3,78.0
Yes,25.1,63.0
No,25.6,70.0
No,38.5,8.0
No,17.2,59.0
No,32.5,19.0
No,39.2,20.0
Yes,34.4,41.0
No,33.0,11.0
